Name | Categorys | Price | PhoneNumber | Address | Rating | Lat | Lng | OpeningHours
Salam Bombay|Indian |20|(604) 681-6300|755 Burrard St #217, Vancouver, BC V6Z 1X6, Canada|3.9|49.284022|-123.122041| Monday: 11:30 AM – 10:15 PM Tuesday: 11:30 AM – 10:15 PM Wednesday: 11:30 AM – 10:15 PM Thursday: 11:30 AM – 10:15 PM Friday: 11:30 AM – 10:15 PM Saturday: 11:30 AM – 10:15 PM Sunday: 11:30 AM – 10:15 PM
Malone's Social Lounge & Taphouse||20|(604) 684-9977|608 W Pender St, Vancouver, BC V6B 1V8, Canada|3.7|49.284031|-123.114136| Monday: 11:30 AM – 12:00 AM Tuesday: 11:30 AM – 12:00 AM Wednesday: 11:30 AM – 1:00 AM Thursday: 11:30 AM – 2:00 AM Friday: 11:30 AM – 2:00 AM Saturday: 11:30 AM – 2:00 AM Sunday: 11:30 AM – 12:00 AM
Hurricane Grill||20|(604) 488-0555|1137 Marinaside Crescent, Vancouver, BC V6Z 2Y3, Canada|3.8|49.2734835|-123.1192249| Monday: 10:30 AM – 12:00 AM Tuesday: 10:30 AM – 12:00 AM Wednesday: 10:30 AM – 12:00 AM Thursday: 10:30 AM – 12:00 AM Friday: 10:30 AM – 12:00 AM Saturday: 10:30 AM – 12:00 AM Sunday: 10:30 AM – 12:00 AM
Miku Vancouver|Sushi |50|(604) 568-3900|200 Granville St #70, Vancouver, BC V6C 1S4, Canada|4.5|49.2870468|-123.1128433| Monday: 11:30 AM – 10:30 PM Tuesday: 11:30 AM – 10:30 PM Wednesday: 11:30 AM – 10:30 PM Thursday: 11:30 AM – 11:00 PM Friday: 11:30 AM – 11:00 PM Saturday: 11:30 AM – 11:00 PM Sunday: 11:30 AM – 10:30 PM
Twisted Fork Bistro|Sandwich |20|(604) 568-0749|1147 Granville St, Vancouver, BC V6Z 1M1, Canada|4.3|49.2778111|-123.1254954| Monday: 8:00 AM – 3:00 PM Tuesday: 8:00 AM – 3:00 PM Wednesday: 8:00 AM – 3:00 PM Thursday: 8:00 AM – 3:00 PM Friday: 8:00 AM – 3:00 PM Saturday: 8:00 AM – 3:00 PM Sunday: 8:00 AM – 3:00 PM
Save On Meats|Sandwich |20|(604) 569-3568|43 W Hastings St, Vancouver, BC V6B 1G4, Canada|4.1|49.28191969999999|-123.1060432| Monday: 11:00 AM – 7:00 PM Tuesday: 11:00 AM – 7:00 PM Wednesday: 11:00 AM – 7:00 PM Thursday: 11:00 AM – 7:00 PM Friday: 11:00 AM – 7:00 PM Saturday: 11:00 AM – 7:00 PM Sunday: 11:00 AM – 7:00 PM
Doolin's Irish Pub||30|(604) 605-4343|654 Nelson St, Vancouver, BC V6B 6K4, Canada|4.1|49.279067|-123.123055| Monday: 11:30 AM – 2:00 AM Tuesday: 11:30 AM – 2:00 AM Wednesday: 11:30 AM – 2:00 AM Thursday: 11:30 AM – 2:00 AM Friday: 11:30 AM – 3:00 AM Saturday: 11:30 AM – 3:00 AM Sunday: 11:30 AM – 2:00 AM
Six Acres||20|(604) 488-0110|203 Carrall St, Vancouver, BC V6B 2J2, Canada|4.3|49.2833779|-123.10449| Monday: 11:30 AM – 11:30 PM Tuesday: 11:30 AM – 11:30 PM Wednesday: 11:30 AM – 11:30 PM Thursday: 11:30 AM – 11:30 PM Friday: 11:30 AM – 12:30 AM Saturday: 11:30 AM – 12:30 AM Sunday: 11:30 AM – 11:30 PM
Shuraku Restaurant|Sushi |20|(604) 687-6622|833 Granville St, Vancouver, BC V6B 2C9, Canada|4.1|49.2811175|-123.1206438| Monday: 11:45 AM – 11:00 PM Tuesday: 11:45 AM – 11:00 PM Wednesday: 11:45 AM – 11:00 PM Thursday: 11:45 AM – 11:00 PM Friday: 11:45 AM – 12:00 AM Saturday: 12:00 PM – 12:00 AM Sunday: 12:00 – 11:00 PM
Nuba in Gastown||30|(604) 688-1655|207 W Hastings St, Vancouver, BC V6B 1K6, Canada|4.2|49.2827427|-123.109641| Monday: 11:30 AM – 4:30 PM, 5:00 – 9:00 PM Tuesday: 11:30 AM – 4:30 PM, 5:00 – 9:00 PM Wednesday: 11:30 AM – 4:30 PM, 5:00 – 9:00 PM Thursday: 11:30 AM – 4:30 PM, 5:00 – 9:00 PM Friday: 11:30 AM – 4:30 PM, 5:00 – 10:00 PM Saturday: 11:30 AM – 4:00 PM, 5:00 – 10:00 PM Sunday: 11:30 AM – 4:00 PM, 5:00 – 9:00 PM
OPUS Vancouver||20|(604) 642-6787|322 Davie St, Vancouver, BC V6B 5Z6, Canada|4.6|49.2746307|-123.1225589| Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours
Scoozis Bar & Grill||20|(604) 684-1009|445 Howe St, Vancouver, BC V6C 2X6, Canada|4.2|49.2857603|-123.1154001| Monday: 6:30 AM – 10:30 PM Tuesday: 6:30 AM – 10:30 PM Wednesday: 6:30 AM – 10:30 PM Thursday: 6:30 AM – 10:30 PM Friday: 6:30 AM – 10:30 PM Saturday: 6:30 AM – 10:30 PM Sunday: 6:30 AM – 10:30 PM
Rogue Kitchen & Wetbar||20|(604) 678-8000|601 W Cordova St, Vancouver, BC V6B 1E1, Canada|3.6|49.2853923|-123.1114258| Monday: 11:30 AM – 11:00 PM Tuesday: 11:30 AM – 12:00 AM Wednesday: 11:30 AM – 12:00 AM Thursday: 11:30 AM – 12:00 AM Friday: 11:30 AM – 1:00 AM Saturday: 11:30 AM – 1:00 AM Sunday: 11:30 AM – 11:00 PM
Delta Hotels by Marriott Vancouver Downtown Suites||20|(604) 689-8188|550 W Hastings St, Vancouver, BC V6B 1L6, Canada|4.4|49.28414|-123.112589| Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours
Kingston Taphouse & Grille||30|(604) 681-7011|755 Richards St, Vancouver, BC V6B 3A6, Canada|3.9|49.28085369999999|-123.1172788| Monday: 11:30 AM – 10:00 PM Tuesday: 11:30 AM – 11:00 PM Wednesday: 11:30 AM – 11:00 PM Thursday: 11:30 AM – 11:00 PM Friday: 11:30 AM – 12:00 AM Saturday: 10:00 AM – 12:00 AM Sunday: 10:00 AM – 10:00 PM
Italian Kitchen|Sandwich |30|(604) 687-2858|1037 Alberni St, Vancouver, BC V6E 1A1, Canada|4|49.28452060000001|-123.1221799| Monday: 11:30 AM – 11:00 PM Tuesday: 11:30 AM – 11:00 PM Wednesday: 11:30 AM – 11:00 PM Thursday: 11:30 AM – 11:00 PM Friday: 11:30 AM – 11:00 PM Saturday: 11:30 AM – 11:00 PM Sunday: 11:30 AM – 11:00 PM
Yaletown Brewing Company||20|(604) 681-2739|1111 Mainland St, Vancouver, BC V6B 2T9, Canada|3.8|49.27559369999999|-123.1209341| Monday: 11:30 AM – 12:00 AM Tuesday: 11:30 AM – 12:00 AM Wednesday: 11:30 AM – 12:00 AM Thursday: 11:30 AM – 1:00 AM Friday: 11:30 AM – 3:00 AM Saturday: 11:30 AM – 3:00 AM Sunday: 11:30 AM – 12:00 AM
Medina||30|(604) 879-3114|780 Richards St, Vancouver, BC V6B 3A4, Canada|4.4|49.2805145|-123.1168509| Monday: 8:00 AM – 3:00 PM Tuesday: 8:00 AM – 3:00 PM Wednesday: 8:00 AM – 3:00 PM Thursday: 8:00 AM – 3:00 PM Friday: 8:00 AM – 3:00 PM Saturday: 9:00 AM – 3:00 PM Sunday: 9:00 AM – 3:00 PM
Bonchaz Bakery Cafe|Sandwich |20|(604) 568-0084|426 W Hastings St, Vancouver, BC V6B 1L1, Canada|4.1|49.28359039999999|-123.1115798| Monday: 7:00 AM – 7:00 PM Tuesday: 7:00 AM – 7:00 PM Wednesday: 7:00 AM – 7:00 PM Thursday: 7:00 AM – 7:00 PM Friday: 7:00 AM – 7:00 PM Saturday: 9:00 AM – 5:00 PM Sunday: 10:00 AM – 5:00 PM
Meat & Bread|Sandwich |10|undefined|370 Cambie St, Vancouver, BC V6B 1H7, Canada|4.6|49.282624|-123.1093763| Monday: 11:00 AM – 5:00 PM Tuesday: 11:00 AM – 5:00 PM Wednesday: 11:00 AM – 5:00 PM Thursday: 11:00 AM – 7:30 PM Friday: 11:00 AM – 7:30 PM Saturday: 11:00 AM – 7:30 PM Sunday: 11:00 AM – 4:00 PM
Guu Garden|Sushi |30|(604) 899-0855|888 Nelson St M101, Vancouver, BC V6Z 2H2, Canada|4.1|49.2800364|-123.1252786| Monday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Tuesday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Wednesday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Thursday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Friday: 11:30 AM – 3:00 PM, 5:30 PM – 12:30 AM Saturday: 12:00 – 3:30 PM, 5:30 PM – 12:30 AM Sunday: 12:00 – 3:30 PM, 5:30 PM – 12:00 AM
Motomachi Shokudo||10|(604) 609-0310|740 Denman St, Vancouver, BC V6G 2L5, Canada|4.3|49.2918534|-123.1345642| Monday: 12:00 – 11:00 PM Tuesday: 12:00 – 11:00 PM Wednesday: Closed Thursday: 12:00 – 11:00 PM Friday: 12:00 – 11:00 PM Saturday: 12:00 – 11:00 PM Sunday: 12:00 – 11:00 PM
Fatburger||20|(604) 689-8858|1101 Denman St, Vancouver, BC V6G 2M7, Canada|3.7|49.28835309999999|-123.140408| Monday: 10:00 AM – 10:00 PM Tuesday: 10:00 AM – 10:00 PM Wednesday: 10:00 AM – 10:00 PM Thursday: 10:00 AM – 10:00 PM Friday: 9:00 AM – 10:00 PM Saturday: 9:00 AM – 10:00 PM Sunday: 9:00 AM – 10:00 PM
Joyeaux Café & Restaurant||20|(604) 681-9168|551 Howe St, Vancouver, BC V6C 2C2, Canada|4.2|49.2847945|-123.1168886| Monday: 7:00 AM – 9:00 PM Tuesday: 7:00 AM – 9:00 PM Wednesday: 7:00 AM – 9:00 PM Thursday: 7:00 AM – 9:00 PM Friday: 7:00 AM – 9:00 PM Saturday: 7:00 AM – 8:00 PM Sunday: 7:00 AM – 8:00 PM
